Date,ITB,IYZ,XLY,XLP,IYT,PHO,DBA,DBB,VNQ,LQD
11/08/2016,28.269758,29.356247,77.426567,48.878319,133.936951,24.096529,20.086195,13.308026,75.391342,107.485939
12/08/2016,28.113136,29.097403,77.388832,49.047466,133.338333,24.008366,20.164124,13.124268,75.710205,107.974533
15/08/2016,28.387224,29.08848,77.539848,48.922825,134.107971,24.135704,20.339462,13.279012,75.634682,107.643005
16/08/2016,28.259968,28.651121,77.09626,48.70916,134.126984,23.910416,20.339462,13.346713,74.728477,107.451096
17/08/2016,27.976095,28.490465,76.916939,48.842697,134.621033,23.959393,20.261534,13.366055,75.030548,107.747658
18/08/2016,28.034822,28.642197,76.869743,49.011868,135.400177,24.057348,20.397911,13.39507,74.753654,108.009422
19/08/2016,28.005461,28.365499,76.916939,48.896114,135.438217,24.116119,20.319981,13.366055,74.27536,107.6866
22/08/2016,28.132713,28.356577,76.841446,48.967346,134.849091,24.135704,20.427134,13.279012,74.678146,108.053024
23/08/2016,28.866871,28.445835,77.228386,48.869411,135.324188,24.174887,20.446613,13.288683,74.720085,108.175194
24/08/2016,28.524261,28.427984,76.860313,48.789284,135.181686,23.998575,20.203087,13.104924,74.392868,108.1054
25/08/2016,28.573208,28.570789,76.605499,48.602325,134.326508,24.008366,20.125158,13.143611,74.728477,108.000702
26/08/2016,28.269758,28.427984,76.388428,48.353027,133.632874,23.949598,19.998526,13.201639,73.990089,107.660454
29/08/2016,28.406797,28.785007,76.652672,48.637936,134.326508,24.116119,19.852406,13.191968,74.720085,108.271141
30/08/2016,28.543839,28.749304,76.227982,48.353027,135.172165,23.978981,19.813442,13.114596,74.577438,108.131561
31/08/2016,28.426378,28.749304,76.0298,48.415363,134.573578,23.871237,19.706289,13.095253,74.652969,108.087944
01/09/2016,28.28933,28.535091,76.180794,48.433163,135.343201,23.861441,19.706289,13.182297,74.468353,108.087936
02/09/2016,28.357855,28.88319,76.331787,48.807087,135.87532,24.174887,19.774477,13.162953,75.114471,107.8955
06/09/2016,28.328489,28.936735,76.473351,48.913929,135.951309,24.145502,19.754997,13.046895,75.69342,108.271652
07/09/2016,28.543839,29.177729,76.511124,48.486568,137.823181,24.096529,19.969299,13.075911,76.14653,108.122917
08/09/2016,28.269758,29.168806,75.85051,48.219479,138.260208,24.047546,19.949818,13.066238,75.215126,107.361916
09/09/2016,27.163635,28.204844,74.019562,46.910709,133.85141,23.136587,19.813442,12.930838,72.236404,106.557205
12/09/2016,27.476871,29.150959,75.057716,47.792122,135.7043,23.410849,19.832926,12.901822,73.092285,106.565926
13/09/2016,26.918915,28.41906,73.991257,47.204529,133.053284,23.028835,19.569914,12.776093,71.257187,106.216042
14/09/2016,26.918915,28.41906,74.000702,47.062069,132.825226,23.019039,19.530949,13.037224,71.485313,106.286034
15/09/2016,27.065744,28.802858,74.538643,47.444908,133.56633,23.273718,19.599138,12.901822,71.755669,106.355988
16/09/2016,26.693783,28.722523,74.377602,47.290821,133.015228,23.230572,19.803701,12.882479,71.789467,106.478516
19/09/2016,26.938496,28.740377,74.32074,47.192287,133.471359,23.416885,19.910852,12.969522,72.440033,106.443474
20/09/2016,26.576313,28.410131,74.377602,47.317707,133.499847,23.377663,20.086195,13.056567,72.3302,106.583435
21/09/2016,26.821032,28.597569,75.097595,47.577492,135.865784,23.789515,20.105675,13.056567,73.259567,107.125778
22/09/2016,27.144054,29.159874,75.647064,47.998535,136.416901,24.15234,20.027748,13.21131,74.56913,107.563103
23/09/2016,27.036381,29.204508,75.476517,47.783527,136.008316,23.936607,19.940075,13.230655,74.797241,107.48439
26/09/2016,26.894318,29.023844,74.642868,47.380405,135.565323,23.789515,19.88163,13.288683,74.97467,107.650574
27/09/2016,26.992292,29.131697,75.400742,47.577492,136.67041,23.936607,19.823183,13.298355,74.180489,107.912979
28/09/2016,27.168652,29.365396,75.609161,47.658115,137.070541,24.15234,19.813442,13.472443,74.788788,107.982979
29/09/2016,26.855127,29.140684,75.220757,47.192287,136.7276,23.946419,19.628361,13.491785,73.791824,107.939209
30/09/2016,26.992292,28.96092,75.827072,47.667068,138.366196,24.132732,19.462763,13.588501,73.284912,107.746803
